mfds_category,code,drug
115,193201ACR,methylphenidate hydrochloride   10mg
115,193201ATB,methylphenidate hydrochloride   10mg
115,193202ACR,methylphenidate hydrochloride   5mg
115,193202ATB,methylphenidate hydrochloride   5mg
115,193203ATR,methylphenidate hydrochloride   18mg
115,193204ATR,methylphenidate hydrochloride   36mg
115,193205ACR,methylphenidate hydrochloride   20mg
115,193206ATR,methylphenidate hydrochloride   27mg
115,193207ACR,methylphenidate hydrochloride   30mg
115,193208ACR,methylphenidate hydrochloride   40mg
115,193209ATR,methylphenidate hydrochloride   54mg
115,193210ACR,methylphenidate hydrochloride   60mg
115,193211ACR,methylphenidate hydrochloride   50mg
116,116301ATB,betahistine mesylate   6mg
116,116302ATB,betahistine mesylate   12mg
116,550602ATB,betahistine hydrochloride   16mg
116,550603ATB,betahistine hydrochloride   24mg
117,105501ATB,alprazolam   1mg
117,105502ATB,alprazolam   0.25mg
117,105504ATB,alprazolam   0.4mg
117,105505ATB,alprazolam   0.5mg
117,105507ATB,alprazolam   0.125mg
117,107501ATB,amitriptyline hydrochloride   10mg
117,107502ATB,amitriptyline hydrochloride   25mg
117,107504ATB,amitriptyline hydrochloride   5mg
117,108002ATB,amoxapine   50mg
117,118501ATB,bromazepam   3mg
117,120501ATB,buspirone hydrochloride   10mg
117,120502ATB,buspirone hydrochloride   5mg
117,120503ATB,buspirone hydrochloride   15mg
117,131201ATB,chlordiazepoxide hydrochloride   10mg
117,131202ATB,chlordiazepoxide hydrochloride   5mg
117,131901ATB,chlorpromazine hydrochloride   0.1g
117,131905ATB,chlorpromazine hydrochloride   0.2g
117,131908ATB,chlorpromazine hydrochloride   50mg
117,135702ATB,clobazam   5mg
117,136301ACH,clomipramine hydrochloride   10mg
117,136302ACH,clomipramine hydrochloride   25mg
117,137302ATB,clotiazepam   5mg
117,137501ATB,clozapine   0.1g
117,137502ATB,clozapine   25mg
117,137503ATB,clozapine   50mg
117,137504ATB,clozapine   0.2g
117,142901ATB,diazepam   10mg
117,142902ATB,diazepam   2mg
117,142903ATB,diazepam   5mg
117,156201ATB,ethyl loflazepate   1mg
117,156202ATB,ethyl loflazepate   2mg
117,156501ATB,etizolam   1mg
117,156502ATB,etizolam   0.5mg
117,156503ATB,etizolam   0.25mg
117,161501ACH,fluoxetine hydrochloride (as fluoxetine   10mg)
117,161501ATB,fluoxetine hydrochloride (as fluoxetine   10mg)
117,161502ACH,fluoxetine hydrochloride (as fluoxetine   20mg)
117,161502ATB,fluoxetine hydrochloride (as fluoxetine   20mg)
117,161502ATD,fluoxetine hydrochloride (as fluoxetine   20mg)
117,162501ATB,fluvoxamine maleate   50mg
117,162502ATB,fluvoxamine maleate   0.1g
117,167903ATB,haloperidol   1.5mg
117,167904ATB,haloperidol   10mg
117,167905ATB,haloperidol   20mg
117,167906ATB,haloperidol   3mg
117,167908ATB,haloperidol   5mg
117,172130ASY,hydroxyzine hydrochloride   0.2g(2mg/mL)
117,172101ATB,hydroxyzine hydrochloride   10mg
117,173701ATB,imipramine hydrochloride   25mg
117,183301ATB,levomepromazine maleate (as levomepromazine   0.1g)
117,183302ATB,levomepromazine maleate (as levomepromazine   25mg)
117,183303ATB,levomepromazine maleate (as levomepromazine   50mg)
117,184701ATB,lithium carbonate   0.3g
117,184702ATB,lithium carbonate   0.15g
117,185501ATB,lorazepam   1mg
117,185504ATB,lorazepam   0.5mg
117,196201ATB,mirtazapine   15mg
117,196201ATD,mirtazapine   15mg
117,196202ATB,mirtazapine   30mg
117,196202ATD,mirtazapine   30mg
117,196204ATB,mirtazapine   7.5mg
117,196204ATD,mirtazapine   7.5mg
117,196701ATB,moclobemide   0.15g
117,203401ATB,nortryptiline hydrochloride (as nortryptiline   10mg)
117,203402ATB,nortryptiline hydrochloride (as nortryptiline   25mg)
117,204001ATB,olanzapine   10mg
117,204001ATD,olanzapine   10mg
117,204002ATB,olanzapine   5mg
117,204002ATD,olanzapine   5mg
117,204004ATB,olanzapine   2.5mg
117,204005ATB,olanzapine   15mg
117,209301ATB,paroxetine hydrochloride (as paroxetine   10mg)
117,209302ATB,paroxetine hydrochloride (as paroxetine   20mg)
117,209304ATR,paroxetine hydrochloride (as paroxetine   12.5mg)
117,209305ATR,paroxetine hydrochloride (as paroxetine   25mg)
117,211401ATB,perphenazine   4mg
117,212401ATB,pimozide   1mg
117,212402ATB,pimozide   4mg
117,224201ATB,risperidone   1mg
117,224201ATD,risperidone   1mg
117,224202ATB,risperidone   2mg
117,224202ATD,risperidone   2mg
117,224203ATB,risperidone   3mg
117,224204ATB,risperidone   0.5mg
117,227001ATB,sertraline hydrochloride (as sertraline   50mg)
117,227002ATB,sertraline hydrochloride (as sertraline   0.1g)
117,227003ATB,sertraline hydrochloride (as sertraline   25mg)
117,229601ATB,sodium tianeptine   12.5mg
117,233401ATB,sulpiride   0.2g
117,242901ACH,trazodone hydrochloride   25mg
117,242901ATB,trazodone hydrochloride   25mg
117,242902ATB,trazodone hydrochloride   50mg
117,242903ATR,trazodone hydrochloride   75mg
117,247502ACR,venlafaxine hydrochloride (as venlafaxine   75mg)
117,247504ACR,venlafaxine hydrochloride (as venlafaxine   37.5mg)
117,250801ATB,zotepin   0.1g
117,250802ATB,zotepin   25mg
117,250803ATB,zotepin   50mg
117,255800ATB,chlordiazepoxide   5mg
117,255800ATB,clidinium bromide   2.5mg
117,355801ACH,milnacipran hydrochloride   25mg
117,355802ACH,milnacipran hydrochloride   50mg
117,355803ACH,milnacipran hydrochloride   12.5mg
117,378601ATB,quetiapine fumarate (as quetiapine   25mg)
117,378602ATB,quetiapine fumarate (as quetiapine   0.1g)
117,378603ATB,quetiapine fumarate (as quetiapine   0.2g)
117,378604ATB,quetiapine fumarate (as quetiapine   0.3g)
117,378605ATB,quetiapine fumarate (as quetiapine   50mg)
117,378605ATR,quetiapine fumarate (as quetiapine   50mg)
117,378606ATR,quetiapine fumarate (as quetiapine   0.2g)
117,378607ATR,quetiapine fumarate (as quetiapine   0.3g)
117,378608ATR,quetiapine fumarate (as quetiapine   0.4g)
117,378609ATR,quetiapine fumarate (as quetiapine   0.15g)
117,378610ATB,quetiapine fumarate (as quetiapine   12.5mg)
117,420002ATB,amisulpride   0.4g
117,420003ATB,amisulpride   0.1g
117,420004ATB,amisulpride   0.2g
117,428101ATB,bupropion hydrochloride   0.1g
117,428102ATR,bupropion hydrochloride   0.15g
117,428103ATR,bupropion hydrochloride   0.3g
117,428301ATB,citalopram hydrobromide (as citalopram   20mg)
117,451501ATB,aripiprazole   10mg
117,451501ATD,aripiprazole   10mg
117,451502ATB,aripiprazole   15mg
117,451502ATD,aripiprazole   15mg
117,451503ATB,aripiprazole   5mg
117,451504ATB,aripiprazole   2mg
117,451505ATB,aripiprazole   30mg
117,464901ACH,ziprasidone hydrochloride monohydrate (as ziprasidone   20mg)
117,464902ACH,ziprasidone hydrochloride monohydrate (as ziprasidone   40mg)
117,464903ACH,ziprasidone hydrochloride monohydrate (as ziprasidone   60mg)
117,464904ACH,ziprasidone hydrochloride monohydrate (as ziprasidone   80mg)
117,474801ATB,escitalopram oxalate (as escitalopram   5mg)
117,474802ATB,escitalopram oxalate (as escitalopram   10mg)
117,474803ATB,escitalopram oxalate (as escitalopram   20mg)
117,474804ATB,escitalopram oxalate (as escitalopram   15mg)
117,495501ACE,duloxetine hydrochloride (as duloxetine   30mg)
117,495501ATE,duloxetine hydrochloride (as duloxetine   30mg)
117,495502ACE,duloxetine hydrochloride (as duloxetine   60mg)
117,495502ATE,duloxetine hydrochloride (as duloxetine   60mg)
117,503201ATR,paliperidone   3mg
117,503202ATR,paliperidone   6mg
117,503203ATR,paliperidone   9mg
117,511301ATB,blonanserin   2mg
117,511302ATB,blonanserin   4mg
117,511303ATB,blonanserin   8mg
117,613101ATB,agomelatine   25mg
117,626401ATR,desvenlafaxine succinate monohydrate (as desvenlafaxine   50mg)
117,626402ATR,desvenlafaxine succinate monohydrate (as desvenlafaxine   100mg)
117,687601ATR,desvenlafaxine benzoate (as desvenlafaxine   50mg)
117,687602ATR,desvenlafaxine benzoate (as desvenlafaxine   0.1g)
117,687701ATR,desvenlafaxine   50mg
117,687702ATR,desvenlafaxine   0.1g
117,628501ATB,vortioxetine hydrobromide (as vortioxetine   5mg)
117,628502ATB,vortioxetine hydrobromide (as vortioxetine   10mg)
117,628504ATB,vortioxetine hydrobromide (as vortioxetine   20mg)
119,100501ATE,acamprosate   0.333g
119,104101ATB,afloqualone   20mg
119,106201ATB,amantadine sulfate   0.1g
119,116001ATB,benztropine mesylate   1mg
119,116002ATB,benztropine mesylate   2mg
119,134801ATB,cladribine   10mg
119,136505ATR,clonidine hydrochloride   0.1mg
119,138103ASY,choline alfoscerate   0.4g(40mg/mL)
119,138104ASY,choline alfoscerate   0.4g(50mg/mL)
119,138101ACH,choline alfoscerate   0.4g
119,138101ACS,choline alfoscerate   0.4g
119,138101APD,choline alfoscerate   0.4g
119,138101ATB,choline alfoscerate   0.4g
119,148601ATB,donepezil hydrochloride   10mg
119,148601ATD,donepezil hydrochloride   10mg
119,148602ATB,donepezil hydrochloride   5mg
119,148602ATD,donepezil hydrochloride   5mg
119,148603ATB,donepezil hydrochloride   23mg
119,149901ATB,St. John's Wort 50% ethanol ext. (as hypericin   50μg)
119,172601ATB,St. John's Wort 80% methanol ext.   0.3g
119,190031ALQ,memantine hydrochloride (as memantine   0.4155g(8.31mg/g))
119,190001ATB,memantine hydrochloride (as memantine   8.31mg)
119,190003ATD,memantine hydrochloride   10mg
119,190004ATB,memantine hydrochloride   5mg
119,190004ATD,memantine hydrochloride   5mg
119,205303ATB,orphenadrine hydrochloride   25mg
119,206530ASY,oxiracetam   0.8g(0.16g/mL)
119,206533ASY,oxiracetam   80g(0.16g/mL)
119,206503ATB,oxiracetam   0.8g
119,206504ATB,oxiracetam   0.4g
119,218401ATB,procyclidine hydrochloride   5mg
119,224001ATB,riluzole   50mg
119,224501ACH,rivastigmine tartrate (as rivastigmine   1.5mg)
119,224503ACH,rivastigmine tartrate (as rivastigmine   3mg)
119,224504ACH,rivastigmine tartrate (as rivastigmine   4.5mg)
119,224505ACH,rivastigmine tartrate (as rivastigmine   6mg)
119,224901ATB,ropinirole hydrochloride (as ropinirole   1mg)
119,224902ATB,ropinirole hydrochloride (as ropinirole   2mg)
119,224902ATR,ropinirole hydrochloride (as ropinirole   2mg)
119,224903ATB,ropinirole hydrochloride (as ropinirole   0.25mg)
119,224904ATB,ropinirole hydrochloride (as ropinirole   5mg)
119,224905ATR,ropinirole hydrochloride (as ropinirole   4mg)
119,224906ATR,ropinirole hydrochloride (as ropinirole   8mg)
119,226401ATB,selegiline hydrochloride   5mg
119,244201ATB,trihexyphenidyl hydrochloride   2mg
119,256000ACR,benserazide hydrochloride (as benserazide   25mg)
119,256000ACR,levodopa   0.1g
119,256000ATB,benserazide hydrochloride (as benserazide   25mg)
119,256000ATB,levodopa   0.1g
119,256000ATD,benserazide hydrochloride (as benserazide   25mg)
119,256000ATD,levodopa   0.1g
119,256200ATB,benserazide hydrochloride (as benserazide   50mg)
119,256200ATB,levodopa   0.2g
119,256300ATB,carbidopa hydrate (as carbidopa   25mg)
119,256300ATB,levodopa   0.1g
119,256400ATB,carbidopa hydrate (as carbidopa   25mg)
119,256400ATB,levodopa   0.25g
119,256500ATR,carbidopa hydrate (as carbidopa   50mg)
119,256500ATR,levodopa   0.2g
119,385203ACR,galantamine hydrobromide (as galantamine   24mg)
119,385203ATR,galantamine hydrobromide (as galantamine   24mg)
119,385204ACR,galantamine hydrobromide (as galantamine   8mg)
119,385204ATR,galantamine hydrobromide (as galantamine   8mg)
119,385205ACR,galantamine hydrobromide (as galantamine   16mg)
119,385205ATR,galantamine hydrobromide (as galantamine   16mg)
119,402501ATB,pramipexole dihydrochloride   0.125mg
119,402502ATB,pramipexole dihydrochloride   0.25mg
119,402503ATB,pramipexole dihydrochloride   0.5mg
119,402504ATB,pramipexole dihydrochloride   1mg
119,402505ATR,pramipexole dihydrochloride   0.375mg
119,402506ATR,pramipexole dihydrochloride   0.75mg
119,402507ATR,pramipexole dihydrochloride   1.5mg
119,439201ATB,entacapone   0.2g
119,439502ATB,modafinil   0.2g
119,468300ATB,carbidopa monohydrate (as carbidopa   25mg)
119,468300ATB,entacapone   0.2g
119,468300ATB,levodopa   0.1g
119,468400ATB,carbidopa monohydrate (as carbidopa   12.5mg)
119,468400ATB,entacapone   0.2g
119,468400ATB,levodopa   50mg
119,468900ATB,carbidopa monohydrate (as carbidopa   37.5mg)
119,468900ATB,entacapone   0.2g
119,468900ATB,levodopa   0.15g
119,499900ATB,carbidopa monohydrate (as carbidopa   50mg)
119,499900ATB,entacapone   0.2g
119,499900ATB,levodopa   0.2g
119,507200ATB,carbidopa monohydrate (as carbidopa   18.75mg)
119,507200ATB,entacapone   0.2g
119,507200ATB,levodopa   75mg
119,507300ATB,carbidopa monohydrate (as carbidopa   31.25mg)
119,507300ATB,entacapone   0.2g
119,507300ATB,levodopa   0.125g
119,480401ACH,pregabalin   75mg
119,480401ATB,pregabalin   75mg
119,480402ACH,pregabalin   0.15g
119,480402ATB,pregabalin   0.15g
119,480402ATR,pregabalin   0.15g
119,480403ACH,pregabalin   0.3g
119,480403ATR,pregabalin   0.3g
119,480404ACH,pregabalin   0.1g
119,480405ACH,pregabalin   25mg
119,480405ATB,pregabalin   25mg
119,480406ACH,pregabalin   50mg
119,480406ATB,pregabalin   50mg
119,480407ATR,pregabalin   0.165g
119,480408ATR,pregabalin   0.33g
119,480409ATR,pregabalin   82.5mg
119,489601ACH,atomoxetine hydrochloride (as atomoxetine   10mg)
119,489602ACH,atomoxetine hydrochloride (as atomoxetine   18mg)
119,489603ACH,atomoxetine hydrochloride (as atomoxetine   25mg)
119,489604ACH,atomoxetine hydrochloride (as atomoxetine   40mg)
119,489605ACH,atomoxetine hydrochloride (as atomoxetine   60mg)
119,489606ACH,atomoxetine hydrochloride (as atomoxetine   80mg)
119,615201ACH,fingolimod hydrochloride (as fingolimod   0.5mg)
119,624701ATB,Teriflunomide   14mg
119,625201ATB,rasagiline mesylate (as rasagiline   1mg)
119,625202ATB,rasagiline mesylate (as rasagiline   0.5mg)
119,643401ATD,donepezil   4.56mg
119,643402ATD,donepezil   9.12mg
119,648901ACH,dimethyl fumarate   0.12g
119,648902ACH,dimethyl fumarate   0.24g
119,662301ATB,armodafinil   0.15g
119,662302ATB,armodafinil   0.25g
122,113501ATB,baclofen   10mg
122,113502ATB,baclofen   20mg
122,113504ATB,baclofen   5mg
122,131701ATB,chlorphenesin carbamate   0.125g
122,131702ATB,chlorphenesin carbamate   0.25g
122,138701ATB,cyclobenzaprine hydrochloride   10mg
122,138702ACR,cyclobenzaprine hydrochloride   15mg
122,138703ACR,cyclobenzaprine hydrochloride   30mg
122,140401ACH,dantrolene sodium   25mg
122,152301ATB,eperisone hydrochloride   50mg
122,152302ATR,eperisone hydrochloride   75mg
122,192001ATB,methocarbamol   0.25g
122,192003ATB,methocarbamol   0.5g
122,192004ATB,methocarbamol   0.75g
122,205203ATR,orphenadrine citrate   50mg
122,217601ATB,pridinol mesylate   2mg
122,240701ATB,tizanidine hydrochloride (as tizanidine   1mg)
123,102502ATB,aclatonium napadisilate   50mg
123,116902ATB,bethanechol chloride   25mg
123,116904ATB,bethanechol chloride   10mg
123,203801ATB,octylonium bromide   20mg
123,203802ATB,octylonium bromide   40mg
123,207001ATB,oxybutynin chloride   5mg
123,207001ATR,oxybutynin chloride   5mg
123,207005ATR,oxybutynin chloride   10mg
123,221401ATB,pyridostigmine bromide   60mg
123,241201ATB,tofisopam   50mg
124,133501ATB,cimetropium bromide   50mg
124,158001ACH,fenoverine   0.1g
124,172301ATB,hyoscine butylbromide   10mg
124,212130ALQ,phloroglucinol   4g(8mg/mL)
124,212101ATL,phloroglucinol  hydrate   80mg
124,212103ATL,phloroglucinol   0.124476g
124,240301ACH,tiropramide hydrochloride   0.1g
124,240301ATB,tiropramide hydrochloride   0.1g
124,257900ATB,phloroglucinol   80mg
124,257900ATB,trimethylphloroglucinol   80mg
129,660901ACS,tafamidis meglumine (as tafamidis   12.2mg)
131,114901ATB,bendazac lysine dihydrate   0.25g
131,114902ATB,bendazac lysine dihydrate   0.5g
131,246603ACS,bilberry fruit dried ext.   0.17g
131,246603ATB,bilberry fruit dried ext.   0.17g
132,212301ATB,pilocarpine hydrochloride   5mg
141,130501ATB,cetirizine dihydrochloride   10mg
141,131801ATB,chlorpheniramine maleate   2mg
141,135201ATB,clemastine fumarate (as clemastine   1mg)
141,150630ALQ,ebastine   0.5g(1mg/mL)
141,150601ATB,ebastine   10mg
141,151301ACR,emedastine fumarate   1mg
141,151302ACR,emedastine fumarate   2mg
141,185430ASY,loratadine   5mg(1mg/mL)
141,185431ASY,loratadine   0.1g(1mg/mL)
141,185401ACS,loratadine   10mg
141,185401ATB,loratadine   10mg
141,190532ASY,mequitazine   0.25g(0.5mg/mL)
141,190502ATB,mequitazine   5mg
141,206201ATB,oxatomide   30mg
141,213301ATB,piprinhydrinate   3mg
141,259900ACH,cetirizine dihydrochloride   5mg
141,259900ACH,pseudoephedrine hydrochloride   0.12g
141,259900ATB,cetirizine dihydrochloride   5mg
141,259900ATB,pseudoephedrine hydrochloride   0.12g
141,260100ACR,ebastine   10mg
141,260100ACR,pseudoephedrine hydrochloride   0.12g
141,347901ATB,fexofenadine hydrochloride   0.12g
141,347902ATB,fexofenadine hydrochloride   0.18g
141,347903ATB,fexofenadine hydrochloride   30mg
141,355901ATB,mizolastine   10mg
141,395400ATB,fexofenadine hydrochloride   60mg
141,395400ATB,pseudoephedrine hydrochloride   0.12g
141,453901ATB,bepotastine besilate   5mg
141,453902ATB,bepotastine besilate   10mg
141,463631ALQ,levocetirizine dihydrochloride   5mg(0.5mg/mL)
141,463632ALQ,levocetirizine dihydrochloride   25mg(0.5mg/mL)
141,463633ALQ,levocetirizine dihydrochloride   37.5mg(0.5mg/mL)
141,463634ALQ,levocetirizine dihydrochloride   50mg(0.5mg/mL)
141,463635ALQ,levocetirizine dihydrochloride   0.1g(0.5mg/mL)
141,463637ALQ,levocetirizine dihydrochloride   0.25g(0.5mg/mL)
141,463601ATB,levocetirizine dihydrochloride   5mg
